Component,Origin,License
chevron,https://pypi.org/project/chevron/,MIT
click,https://pypi.org/project/click/,BSD-3-Clause
PyYAML,https://pypi.org/project/PyYAML/,MIT
packaging,https://pypi.org/project/packaging/,Apache-2.0
pydantic,https://pypi.org/project/pydantic/,MIT
pytest,https://pypi.org/project/pytest/,MIT
setuptools_scm,https://pypi.org/project/setuptools-scm/,MIT
